,user,name,cloudProvider,assistance,url,auto_renew,serviceSubscriptedMode,service,servicePrice,serviceSubscriptedStatus,createdAt,objectId,className,dns,expired_date,number_of_year,services,jobDescription,operatingSystem,securityVasServicePrice,storageVasServicePrice,storage_vas_size,cpuVasServicePrice,cpu_vas_size,ramVasServicePrice,ram_vas_size,supportLevelVasServicePrice,professionalServiceVasServicePrice,compagnyBranding,otherUserAccount
710,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testConcrete,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,concrete.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'LBUUyONXfX'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:02:38.778Z,TgQVAa7hpd,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:02:46.586Z'}",,,,,,,,,,,,,,,
711,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testMattermost,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,mattermost.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'Nu581hqbbG'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:13:04.934Z,OH8AxmSvbn,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:13:12.217Z'}",,,,,,,,,,,,,,,
712,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testGeoNetwork,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,geonetwork.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'Iv61Fw05XK'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:16:43.155Z,V4FOZrHS7U,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:16:50.128Z'}",,,,,,,,,,,,,,,
713,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testWordPress,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,wordpress.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'AuoUzp7zT5'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:17:27.254Z,EakMTBa3lI,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:17:34.809Z'}",,,,,,,,,,,,,,,
714,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testninja,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,ninjarlsd46ve.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'xwjtwVdjLj'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:18:02.310Z,IG26My69mc,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:18:09.643Z'}",,,,,,,,,,,,,,,
715,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testSurveyProject,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,survey.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'QWozA4VFZp'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:19:00.365Z,kuRlCb4FKF,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:19:09.388Z'}",,,,,,,,,,,,,,,
716,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testGlpi,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,glpi.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'ImR9eQMZ6k'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:20:05.147Z,FbcAguhwhc,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:20:12.422Z'}",,,,,,,,,,,,,,,
717,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testOro,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,oro.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'zM9QyqPRNC'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:24:39.368Z,294l9m1eGF,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:24:47.566Z'}",,,,,,,,,,,,,,,
718,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testmautic,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,mautic.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': '58z2G8LUxk'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T14:29:20.402Z,8fgwXPMjNv,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:29:30.583Z'}",,,,,,,,,,,,,,,
719,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testmatomo,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,matomoj8pw21f3.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'GQRRyEwanT'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-09-03T14:30:46.033Z,iYGjiGuLpO,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:31:02.249Z'}",,,,,,,,,,,,,,,
720,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testPresta,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,presta.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'ftB5W0yalq'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-09-03T14:32:11.968Z,J0TsDyVqSt,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T14:32:34.243Z'}",,,,,,,,,,,,,,,
721,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'BNTjH18Ejd'}",testNextCloud,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,nextcloud.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'GTtXZCegOZ'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'whtx8zvRDa'}",2018-09-03T14:42:34.699Z,3g0HvzgFB2,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-10-04T23:00:00.000Z'}",1,,,,,,,,,,,,,,
722,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'BNTjH18Ejd'}",lkml,,,,,,"{'__type': 'Pointer', 'className': 'Service', 'objectId': '8rLs08olgM'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2zslsXW3wY'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'whtx8zvRDa'}",2018-09-06T09:15:00.950Z,YBdBD5Q7Q5,ServiceSubscripted,,,1,,,,,,,,,,,,,,
723,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'BNTjH18Ejd'}",poi,,,,False,,"{'__type': 'Pointer', 'className': 'Service', 'objectId': 'Nd3our0ZjN'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'PSR5ArS7Z8'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'whtx8zvRDa'}",2018-09-06T09:15:30.717Z,AWFEFEDtCl,ServiceSubscripted,,,,,,,,,,,,,,,,,
724,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'pJyGMKcKXX'}",wpress,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,wpress.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'AuoUzp7zT5'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kiCubqkRdZ'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'whtx8zvRDa'}",2018-09-06T12:40:56.128Z,IGbCqKleJ4,ServiceSubscripted,,,,,,,,,,,,,,,,,
725,"{'__type': 'Pointer', 'className': '_User', 'objectId': '1jCnE220nA'}",url,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,url.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'GTtXZCegOZ'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'whtx8zvRDa'}",2018-09-06T14:42:52.836Z,cDXudq82CX,ServiceSubscripted,,,,,,,,,,,,,,,,,
